Titel,Jahr,Authoren,ISBN,ISSN,DOI,Journal,Monat,Issue,Nummer,URL,Gruppen,
Information Extraction Tasks in Public Administration Domain: ISIDA-T Natural Language Processing System,2019,"Andrei Vinogradov, Evgeny Kurshev, Natalia Vlasova, Alexey Podobryaev",9781450376709,,10.1145/3373722.3373782,,,,,https://doi.org/10.1145/3373722.3373782,NOK1,
"Towards a Decentralized, Trusted, Intelligent and Linked Public Sector: A Report from the Greek Trenches",2019,"Themis Beris, Iosif Angelidis, Ilias Chalkidis, Charalampos Nikolaou, Christos Papaloukas, Panagiotis Soursos, Manolis Koubarakis",9781450366755,,10.1145/3308560.3317077,,,,,https://doi.org/10.1145/3308560.3317077,"OK1, OK2, NOK3",
Enabling Trust in Healthcare Data Exchange with a Federated Blockchain-Based Architecture,2019,"Mirko Koscina, David Manset, Claudia Negri Ribalta, Octavio Perez",9781450369886,,10.1145/3358695.3360897,,,,,https://doi.org/10.1145/3358695.3360897,"OK1, OK2, OK3",
CUREX: SeCUre and PRivate HEalth Data EXchange,2019,"Farnaz Mohammadi, Angeliki Panou, Christoforos Ntantogian, Eirini Karapistoli, Emmanouil Panaousis, Christos Xenakis",9781450369886,,10.1145/3358695.3361753,,,,,https://doi.org/10.1145/3358695.3361753,"OK1, OK2, NOK3",
On the Implementation of Business Process Logic in DLT Nodes,2020,"Thomas Osterland, Thomas Rose, Clemens Putschli",9781450377102,,10.1145/3399871.3399899,,,,,https://doi.org/10.1145/3399871.3399899,"OK1, NOK2",
Towards a Blockchain Based Fall Prediction Model for Aged Care,2019,"Tharuka Rupasinghe, Frada Burstein, Carsten Rudolph, Steven Strange",9781450366038,,10.1145/3290688.3290736,,,,,https://doi.org/10.1145/3290688.3290736,NOK1,
Mitigating LoT Device Based DDoS Attacks Using Blockchain,2018,"Uzair Javaid, Ang Siang, Muhammad Aman, Biplab Sikdar",9781450358385,,10.1145/3211933.3211946,,,,,https://doi.org/10.1145/3211933.3211946,"OK1, NOK2",
Can Blockchains and Linked Data Advance Taxation,2018,Michal Hoffman,9781450356404,,10.1145/3184558.3191555,,,,,https://doi.org/10.1145/3184558.3191555,"OK1, OK2, NOK3",
Conceptualizing a Collaboration Framework between Blockchain Technology and the Internet of Things,2019,"Savsa Pevsic, Milenko Tovsic, Ognjen Ikovic, Milovs Radovanovic, Mirjana Ivanovic, Dragan Bovskovic",9781450371490,,10.1145/3345252.3345279,,,,,https://doi.org/10.1145/3345252.3345279,NOK1,
Analysis of Architectural Variants for Auditable Blockchain-Based Private Data Sharing,2019,"Vincent Reniers, Dimitri Van Landuyt, Paolo Viviani, Bert Lagaisse, Riccardo Lombardi, Wouter Joosen",9781450359337,,10.1145/3297280.3297316,,,,,https://doi.org/10.1145/3297280.3297316,"OK1, OK2, NOK3, Structure",
FalconDB: Blockchain-Based Collaborative Database,2020,"Yanqing Peng, Min Du, Feifei Li, Raymond Cheng, Dawn Song",9781450367356,,10.1145/3318464.3380594,,,,,https://doi.org/10.1145/3318464.3380594,"OK1, NOK2",
Application of Block Chain Technology in Constructing Network Threat Intelligence System,2020,"Shichang Xuan, Hao Tang, Wei Wang, Wu Yang",9781450377676,,10.1145/3390566.3391676,,,,,https://doi.org/10.1145/3390566.3391676,NOK1,
A Novel Blockchain-Based Education Records Verification Solution,2018,"Meng Han, Zhigang Li, Jing He, Dalei Wu, Ying Xie, Asif Baba",9781450359542,,10.1145/3241815.3241870,,,,,https://doi.org/10.1145/3241815.3241870,"OK1, OK2, OK3",
The Potential of Digital Technologies in Commercial and Political Communication,2019,"Olga Ignatjeva, Alexander Pletnev",9781450376709,,10.1145/3373722.3373784,,,,,https://doi.org/10.1145/3373722.3373784,NOK1,
Blockchain for Data Science,2020,"Jiameng Liu, Shaoliang Peng, Chengnian Long, Lijun Wei, Yunhao Liu, Zhihui Tian",9781450377676,,10.1145/3390566.3391681,,,,,https://doi.org/10.1145/3390566.3391681,NOK1,
Measuring the Impact of Blockchain on Healthcare Applications,2019,"Constantinos Loizou, Dimka Karastoyanova, Christos Schizas",9781450360852,,10.1145/3309772.3309806,,,,,https://doi.org/10.1145/3309772.3309806,NOK1,
Blockchain-Enabled Data Provenance in Cloud Datacenter Reengineering,2019,"Haochen Li, Keke Gai, Zhengkang Fang, Liehuang Zhu, Lei Xu, Peng Jiang",9781450367868,,10.1145/3327960.3332382,,,,,https://doi.org/10.1145/3327960.3332382,"OK1, NOK2",
"Opportunities for Applications Using 5G Networks: Requirements, Challenges, and Outlook",2018,"Aaron Ding, Marijn Janssen",9781450365802,,10.1145/3278161.3278166,,,,,https://doi.org/10.1145/3278161.3278166,NOK1,
A Theoretical Framework for Evaluating Government Open Data Platform,2016,"PinYu Chu, HsienLee Tseng",9781450348591,,10.1145/3014087.3014099,,,,,https://doi.org/10.1145/3014087.3014099,NOK1,
Enabling Enterprise Blockchain Interoperability with Trusted Data Transfer (Industry Track),2019,"Ermyas Abebe, Dushyant Behl, Chander Govindarajan, Yining Hu, Dileban Karunamoorthy, Petr Novotny, Vinayaka Pandit, Venkatraman Ramakrishna, Christian Vecchiola",9781450370417,,10.1145/3366626.3368129,,,,,https://doi.org/10.1145/3366626.3368129,NOK1,
Inter Blockchain Communication: A Survey,2019,"Ilham Qasse, Manar Abu Talib, Qassim Nasir",9781450360890,,10.1145/3333165.3333167,,,,,https://doi.org/10.1145/3333165.3333167,NOK1,
Motivating Urban Cycling through a Blockchain-Based Financial Incentives System,2017,"Caroline Jaffe, Cristina Mata, Sepandar Kamvar",9781450351904,,10.1145/3123024.3123141,,,,,https://doi.org/10.1145/3123024.3123141,NOK1,
Research on the Development Path of Blockchain in Shipping Industry,2018,"Hankun Shi, Xuelin Wang",9781450366045,,10.1145/3321619.3321671,,,,,https://doi.org/10.1145/3321619.3321671,NOK1,
Using Blockchain and IoT Technologies to Enhance Intellectual Property Protection,2019,"Jun Lin, Wen Long, Anting Zhang, Yueting Chai",9781450376402,,10.1145/3371238.3371246,,,,,https://doi.org/10.1145/3371238.3371246,NOK1,
PhishLedger: A Decentralized Phishing Data Sharing Mechanism,2019,"Dongjie Liu, Wei Wang, Yang Wang, Yaling Tan",9781450371773,,10.1145/3343147.3343154,,,,,https://doi.org/10.1145/3343147.3343154,NOK1,
BCEAP - A Blockchain Embedded Academic Paradigm to Augment Legacy Education through Application,2019,"Anum Ghaffar, Majid Hussain",9781450371636,,10.1145/3341325.3342036,,,,,https://doi.org/10.1145/3341325.3342036,NOK1,
Data Transparency with Blockchain and AI Ethics,2019,"Elisa Bertino, Ahish Kundu, Zehra Sura",,1936-1955,10.1145/3312750,J. Data and Information Quality,August,,4,https://doi.org/10.1145/3312750,NOK1,
SpeedyChain: A Framework for Decoupling Data from Blockchain for Smart Cities,2018,"Regio Michelin, Ali Dorri, Marco Steger, Roben Lunardi, Salil Kanhere, Raja Jurdak, Avelino Zorzo",9781450360937,,10.1145/3286978.3287019,,,,,https://doi.org/10.1145/3286978.3287019,"OK2, OK1, NOK3",
IoT Passport: A Blockchain-Based Trust Framework for Collaborative Internet-of-Things,2019,"Bo Tang, Hongjuan Kang, Jingwen Fan, Qi Li, Ravi Sandhu",9781450367530,,10.1145/3322431.3326327,,,,,https://doi.org/10.1145/3322431.3326327,NOK1,
Offline Authentication Scheme Based on Blockchain Technology for Smart Lock,2018,"Daoqi Han, Yueming Lu, Xiaofeng Du, Jiefu Gan",9781450365857,,10.1145/3291842.3291893,,,,,https://doi.org/10.1145/3291842.3291893,NOK1,
Data Trading with Differential Privacy in Data Market,2020,Xiao Zheng,9781450376730,,10.1145/3379247.3379271,,,,,https://doi.org/10.1145/3379247.3379271,NOK1,
"Dependable Data Sharing in Dynamic IoT-Systems: Subject-Oriented Process Design, Complex Event Processing, and Blockchains",2019,"Albert Fleischmann, Christian Stary",9781450362504,,10.1145/3329007.3329009,,,,,https://doi.org/10.1145/3329007.3329009,"OK1, NOK2",
Research on Remote Sensing Data Sharing Model Based on Blockchain Technology,2019,"Lei Zhang, Yihua Gao, Jinyu Chen, Xueheng Wang, ZhenYue Huang, Dan Wei",9781450377430,,10.1145/3376044.3376047,,,,,https://doi.org/10.1145/3376044.3376047,"OK1, NOK2",
Infrastructural Grind: Introducing Blockchain Technology in the Shipping Domain,2018,"Karim Jabbar, Pernille Bjorn",9781450355629,,10.1145/3148330.3148345,,,,,https://doi.org/10.1145/3148330.3148345,NOK1,
"Permeability, Interoperability, and Velocity: Entangled Dimensions of Infrastructural Grind at the Intersection of Blockchain and Shipping",2018,"Karim Jabbar, Pernille Bjorn",,2469-7818,10.1145/3288800,Trans. Soc. Comput.,December,,3,https://doi.org/10.1145/3288800,NOK1,
Weighted Forensics Evidence Using Blockchain,2018,David Billard,9781450363938,,10.1145/3219788.3219792,,,,,https://doi.org/10.1145/3219788.3219792,"OK1, NOK2",
Research on Investment Efficiency of Listed Companies Based on DEA Blockchain Concept,2019,"Bin Liu, Shimeng Mei",9781450372138,,10.1145/3362125.3362136,,,,,https://doi.org/10.1145/3362125.3362136,NOK1,
TRIDEnT: Towards a Decentralized Threat Indicator Marketplace,2020,"Nikolaos Alexopoulos, Emmanouil Vasilomanolakis, Stephane Roux, Steven Rowe, Max Muhlhauser",9781450368667,,10.1145/3341105.3374020,,,,,https://doi.org/10.1145/3341105.3374020,NOK1,
Promoting Trust in Interoperability of Systems-of-Systems,2019,Ana Allian,9781450371421,,10.1145/3344948.3344953,,,,,https://doi.org/10.1145/3344948.3344953,NOK1,
Rebuilding Food Supply Chain with Introducing Decentralized Credit Mechanism,2020,"Yu Cui, Hiroki Idota, Masaharu Ota",9781450389457,,10.1145/3429395.3429401,,,,,https://doi.org/10.1145/3429395.3429401,NOK1,
Emergence-Based Access Control: New Approach to Secure the Internet of Things,2018,"Anas El Kalam, Aissam Outchakoucht, Hamza EsSamaali",9781450364515,,10.1145/3240117.3240136,,,,,https://doi.org/10.1145/3240117.3240136,NOK1,
A Survey of Security Vulnerabilities in Ethereum Smart Contracts,2020,"Noama Samreen, Manar Alalfi",,,,,,,,,NOK1,
Digitalization of a Tourist Destination,2019,"G Karpova, A Kuchumov, Y Testina, M Voloshinova",9781450372442,,10.1145/3372177.3373342,,,,,https://doi.org/10.1145/3372177.3373342,NOK1,
Practicing Mobile-Commerce as a Pro – Implementation of an Education-Oriented Commercial Trading System,2020,"PETER YAU, WOO LUEN, JOSEPH LEUNG, DENNIS WONG",9781450388030,,10.1145/3409929.3416794,,,,,https://doi.org/10.1145/3409929.3416794,NOK1,
SAMPL: Scalable Auditability of Monitoring Processes Using Public Ledgers,2019,"Gaurav Panwar, Roopa Vishwanathan, Satyajayant Misra, Austin Bos",9781450367479,,10.1145/3319535.3354219,,,,,https://doi.org/10.1145/3319535.3354219,"OK1, NOK2",
State of Public and Private Blockchains: Myths and Reality,2019,C Mohan,9781450356435,,10.1145/3299869.3314116,,,,,https://doi.org/10.1145/3299869.3314116,NOK1,
Digital Degree Certificates for Higher Education in Brazil: A Technical Policy Specification,2019,"Cristiane Lepiane, Fernando Pereira, Giovani Pieri, Douglas Martins, Jean Martina, Mauro Rabelo",9781450368872,,10.1145/3342558.3345398,,,,,https://doi.org/10.1145/3342558.3345398,"OK1, NOK2",
Applying Enterprise Architecture for Digital Transformation of Electro Mobility towards Sustainable Transportation,2020,Bokolo Anthony Jnr,9781450371308,,10.1145/3378539.3393858,,,,,https://doi.org/10.1145/3378539.3393858,"OK1, NOK2",
"Integrated Cloud Financial Accounting Cycle: How Artificial Intelligence, Blockchain, and XBRL Will Change the Accounting, Fiscal and Auditing Practices",2019,"Alessio Faccia, Mohamed Al Naqbi, Saeed Lootah",9781450371650,,10.1145/3358505.3358507,,,,,https://doi.org/10.1145/3358505.3358507,"OK1, OK2, NOK3",
The Wireless Charging Pavement System of Electric Vehicles Based on Block Chain,2020,"Fengxin Zhang, Huiyan Shen, Dongle Wang, Junping Xiang",9781450377676,,10.1145/3390566.3391678,,,,,https://doi.org/10.1145/3390566.3391678,NOK1,
End-to-End Data Commodity Delivery Based on Metadata,2020,"Yaqing Si, Yuqian Huang, Tao Wang, Jing Su",9781450377720,,10.1145/3424978.3425014,,,,,https://doi.org/10.1145/3424978.3425014,NOK1,
Technology for Determining Strategic Directions for the Development of a Regional Transport and Logistics System under Digitalization,2019,"Nadezhda Bulatova, Evdokia Dugina, Elena Dorzhieva, Maria Siniavina",9781450372442,,10.1145/3372177.3373353,,,,,https://doi.org/10.1145/3372177.3373353,NOK1,
"Legal Informatics from the Aspect of Interoperability: A Review of Systems, Tools and Ontologies",2020,"Michalis Loutsaris, Yannis Charalabidis",9781450376747,,10.1145/3428502.3428611,,,,,https://doi.org/10.1145/3428502.3428611,NOK1,
Stream Reasoning Agents: Blue Sky Ideas Track,2019,"Riccardo Tommasini, Davide Calvaresi, JeanPaul Calbimonte",9781450363099,,,,,,,,NOK1,
Recycling 4.0: An Integrated Approach Towards an Advanced Circular Economy,2020,"Steffen Blomeke, Mark Mennenga, Christoph Herrmann, Lars Kintscher, Gert Bikker, Sebastian Lawrenz, Priyanka Sharma, Andreas Rausch, Mathias Nippraschk, Daniel Goldmann, Hendrik Poschmann, Holger Bruggemann, Christian Scheller, Thomas Spengler",9781450375955,,10.1145/3401335.3401666,,,,,https://doi.org/10.1145/3401335.3401666,NOK1,
Addressing Limits through Tracking Food,2018,"Meena Muralikumar, Bonnie Nardi",9781450365758,,10.1145/3232617.3232620,,,,,https://doi.org/10.1145/3232617.3232620,NOK1,
Metadata Harvesting and Quality Assurance within Open Urban Platforms,2020,"Philipp Lammel, Benjamin Dittwald, Lina Bruns, Nikolay Tcholtchev, Yuri Glikman, Silke Cuno, Mathias Flugge, Ina Schieferdecker",,1936-1955,10.1145/3409795,J. Data and Information Quality,October,,4,https://doi.org/10.1145/3409795,NOK1,
Research on the Construction of Big Data Trading Platform in China,2019,"Bangbo Yu, Haijun Zhao",9781450366335,,10.1145/3321454.3321474,,,,,https://doi.org/10.1145/3321454.3321474,NOK1,
Innovations and Digital Transformation of the Russian Fishery Complex,2019,"Alexander Kharin, Vladimir Kuzin, Albert Mnatsakanyan",9781450372442,,10.1145/3372177.3373354,,,,,https://doi.org/10.1145/3372177.3373354,NOK1,
Democratizing Authority in the Built Environment,2017,"Michael Andersen, John Kolb, Kaifei Chen, David Culler, Randy Katz",9781450355445,,10.1145/3137133.3137151,,,,,https://doi.org/10.1145/3137133.3137151,"OK1, NOK2",
Can China Lead the Development of Data Trading and Sharing Markets?,2018,"XiangYang Li, Jianwei Qian, Xiaoyang Wang",,0001-0782,10.1145/3239542,Commun. ACM,October,,11,https://doi.org/10.1145/3239542,NOK1,
"A Survey on IoT Big Data: Current Status, 13 V’s Challenges, and Future Directions",2020,"Maggi Bansal, Inderveer Chana, Siobhan Clarke",,0360-0300,10.1145/3419634,ACM Comput. Surv.,December,,6,https://doi.org/10.1145/3419634,NOK1,
BcWAN: A Federated Low-Power WAN for the Internet of Things (Industry Track),2018,"Mehdi Bezahaf, Gaetan Cathelain, Tony Ducrocq",9781450360166,,10.1145/3284028.3284036,,,,,https://doi.org/10.1145/3284028.3284036,NOK1,
Information Technology and Innovation in Taxpayer Registration and Numbering: National and International Experience,2019,"Natalia Victorova, Elena Vylkova, Natalia Pokrovskaia, Fedor Shukhov",9781450372442,,10.1145/3372177.3373349,,,,,https://doi.org/10.1145/3372177.3373349,"OK1, NOK2",
Research Directions for Principles of Data Management (Abridged),2017,"Serge Abiteboul, Marcelo Arenas, Pablo Barcelo, Meghyn Bienvenu, Diego Calvanese, Claire David, Richard Hull, Eyke Hullermeier, Benny Kimelfeld, Leonid Libkin, Wim Martens, Tova Milo, Filip Murlak, Frank Neven, Magdalena Ortiz, Thomas Schwentick, Julia Stoyanovich, Jianwen Su, Dan Suciu, Victor Vianu, Ke Yi",,0163-5808,10.1145/3092931.3092933,SIGMOD Rec.,May,,4,https://doi.org/10.1145/3092931.3092933,NOK1,
System Analysis of the Development of Information-Communication Technologies,2019,"Violetta Volkova, Alla Leonova, Alexandra Loginova, Yuri Chernyy",9781450376709,,10.1145/3373722.3373765,,,,,https://doi.org/10.1145/3373722.3373765,NOK1,
Sustainable Data Management Strategies and Systems in Untrust Cloud Environments,2018,"Huafei Zhu, Ng Keong",9781450366298,,10.1145/3301551.3301608,,,,,https://doi.org/10.1145/3301551.3301608,NOK1,
Autonomous Vehicles: Data Protection and Ethical Considerations,2020,"Ioannis Krontiris, Kalliroi Grammenou, Kalliopi Terzidou, Marina Zacharopoulou, Marina Tsikintikou, Foteini Baladima, Chrysi Sakellari, Konstantinos Kaouras",9781450376211,,10.1145/3385958.3430481,,,,,https://doi.org/10.1145/3385958.3430481,NOK1,
Secure Over-the-Air Firmware Updating for Automotive Electronic Control Units,2019,"Dimitris Mbakoyiannis, Othon Tomoutzoglou, George Kornaros",9781450359337,,10.1145/3297280.3297299,,,,,https://doi.org/10.1145/3297280.3297299,NOK1,
Collaboration in Supply Chains for Development of CPS Enabled by Semantic Web Technologies,2018,"Hartwig Baumgaertel, Hans Ehm, Sabrine Laaouane, Jan Gerhardt, Anna Kasprzik",978153866570,,,,,,,,NOK1,
Digital Transformation of Industrial Companies: What is Management 4.0?,2020,Prokhin Egor,9781450388016,,10.1145/3414752.3414779,,,,,https://doi.org/10.1145/3414752.3414779,NOK1,
CADIS: Aspect-Oriented Architecture for Collaborative Modeling and Simulation,2016,"Arthur Valadares, Cristina Lopes, Rohan Achar, Mic Bowman",9781509044849,,,,,,,,NOK1,
Scaling Intel® Software Guard Extensions Applications with Intel® SGX Card,2019,"Somnath Chakrabarti, Matthew Hoekstra, Dmitrii Kuvaiskii, Mona Vij",9781450372268,,10.1145/3337167.3337173,,,,,https://doi.org/10.1145/3337167.3337173,NOK1,
"Data Sets, Modeling, and Decision Making in Smart Cities: A Survey",2019,"Meiyi Ma, Sarah Preum, Mohsin Ahmed, William Tarneberg, Abdeltawab Hendawi, John Stankovic",,2378-962X,10.1145/3355283,ACM Trans. Cyber-Phys. Syst.,November,,2,https://doi.org/10.1145/3355283,NOK1,
Going Dark: A Retrospective on the North American Blackout of 2038,2018,"Prashant Anantharaman, J Brady, Patrick Flathers, Vijay Kothari, Michael Millian, Jason Reeves, Nathan Reitinger, William Nisen, Sean Smith",9781450365970,,10.1145/3285002.3285011,,,,,https://doi.org/10.1145/3285002.3285011,NOK1,
U-RPC: A Protocol for Microservices in DHT,2017,"Gil Utard, HungCuong Le, TrungThanh Tran",9781450353281,,10.1145/3155133.3155198,,,,,https://doi.org/10.1145/3155133.3155198,NOK1,
Using Provenance for Secure Data Fusion in Cooperative Systems,2019,"Clara Bertolissi, Jerry Hartog, Nicola Zannone",9781450367530,,10.1145/3322431.3325100,,,,,https://doi.org/10.1145/3322431.3325100,NOK1,
IoT Architectural Concerns: A Systematic Review,2017,"Asif Gill, Vahid Behbood, Rania RamadanJradi, Ghassan Beydoun",9781450347747,,10.1145/3018896.3025166,,,,,https://doi.org/10.1145/3018896.3025166,NOK1,
Misbehavior in Bitcoin: A Study of Double-Spending and Accountability,2015,"Ghassan Karame, Elli Androulaki, Marc Roeschlin, Arthur Gervais, Srdjan vCapkun",,1094-9224,10.1145/2732196,ACM Trans. Inf. Syst. Secur.,May,,1,https://doi.org/10.1145/2732196,NOK1,
Online Sports Betting through the Prism of Software Engineering,2020,"Gvozden Marinkovic, Nikola Lukic, Nenad Medvidovic",9781450370431,,10.1145/3368089.3417049,,,,,https://doi.org/10.1145/3368089.3417049,NOK1,
ABAC-CC: Attribute-Based Access Control and Communication Control for Internet of Things,2020,"Smriti Bhatt, Ravi Sandhu",9781450375689,,10.1145/3381991.3395618,,,,,https://doi.org/10.1145/3381991.3395618,NOK1,
Explanations and Transparency in Collaborative Workflows,2018,"Serge Abiteboul, Pierre Bourhis, Victor Vianu",9781450347068,,10.1145/3196959.3196975,,,,,https://doi.org/10.1145/3196959.3196975,NOK1,
Automatically Inferring Malware Signatures for Anti-Virus Assisted Attacks,2017,"Christian Wressnegger, Kevin Freeman, Fabian Yamaguchi, Konrad Rieck",9781450349444,,10.1145/3052973.3053002,,,,,https://doi.org/10.1145/3052973.3053002,NOK1,
Return of Version Downgrade Attack in the Era of TLS 1.3,2020,"Sangtae Lee, Youngjoo Shin, Junbeom Hur",9781450379489,,10.1145/3386367.3431310,,,,,https://doi.org/10.1145/3386367.3431310,NOK1,
Leveraging blockchain technology for innovative climate finance under the Green Climate Fund,2020,"Karsten Schulz, Marian Feist",,2589-8116,https://doi.org/10.1016/j.esg.2020.100084,Earth System Governance,,,,http://www.sciencedirect.com/science/article/pii/S2589811620300434,"OK1, NOK2",
Differential privacy in blockchain technology: A futuristic approach,2020,"Muneeb Ul Hassan, Mubashir Rehmani, Jinjun Chen",,0743-7315,https://doi.org/10.1016/j.jpdc.2020.06.003,Journal of Parallel and Distributed Computing,,,,http://www.sciencedirect.com/science/article/pii/S0743731520303105,"OK1, NOK2",
Digital platformisation as public sector transformation strategy: A case of Ghana's paperless port,2021,"PK Senyo, John Effah, Ellis Osabutey",,0040-1625,https://doi.org/10.1016/j.techfore.2020.120387,Technological Forecasting and Social Change,,,,http://www.sciencedirect.com/science/article/pii/S0040162520312130,"OK1, OK2, NOK3",
"Applying blockchain technology to improve agri-food traceability: A review of development methods, benefits and challenges",2020,"Huanhuan Feng, Xiang Wang, Yanqing Duan, Jian Zhang, Xiaoshuan Zhang",,0959-6526,https://doi.org/10.1016/j.jclepro.2020.121031,Journal of Cleaner Production,,,,http://www.sciencedirect.com/science/article/pii/S0959652620310787,"OK1, NOK2",
Positioning of blockchain mechanisms in IOT-powered smart home systems: A gateway-based approach,2020,Daniel Minoli,,2542-6605,https://doi.org/10.1016/j.iot.2019.100147,Internet of Things,,,,http://www.sciencedirect.com/science/article/pii/S2542660519302525,NOK1,
Blockchain for the IoT and industrial IoT: A review,2020,"Qin Wang, Xinqi Zhu, Yiyang Ni, Li Gu, Hongbo Zhu",,2542-6605,https://doi.org/10.1016/j.iot.2019.100081,Internet of Things,,,,http://www.sciencedirect.com/science/article/pii/S254266051930085X,NOK1,
Design and application of a personal credit information sharing platform based on consortium blockchain,2020,"Jing Zhang, Rong Tan, Chunhua Su, Wen Si",,2214-2126,https://doi.org/10.1016/j.jisa.2020.102659,Journal of Information Security and Applications,,,,http://www.sciencedirect.com/science/article/pii/S2214212620308139,NOK1,
Potentials of blockchain technology in supply chain management: Long-term judgments of an international expert panel,2020,"Matthias Kopyto, Sabrina Lechler, Heiko von der Gracht, Evi Hartmann",,0040-1625,https://doi.org/10.1016/j.techfore.2020.120330,Technological Forecasting and Social Change,,,,http://www.sciencedirect.com/science/article/pii/S0040162520311562,NOK1,
Beyond Bitcoin: What blockchain and distributed ledger technologies mean for firms,2019,"Alex Hughes, Andrew Park, Jan Kietzmann, Chris ArcherBrown",,0007-6813,https://doi.org/10.1016/j.bushor.2019.01.002,Business Horizons,,,3,http://www.sciencedirect.com/science/article/pii/S0007681319300023,NOK1,
Smart-toy-edge-computing-oriented data exchange based on blockchain,2018,"Jian Yang, Zhihui Lu, Jie Wu",,1383-7621,https://doi.org/10.1016/j.sysarc.2018.05.001,Journal of Systems Architecture,,,,http://www.sciencedirect.com/science/article/pii/S1383762118300638,NOK1,
"Transformations, transitions, or tall tales? A global review of the uptake and impact of NoSQL, blockchain, and big data analytics on the land administration sector",2019,"Rohan Bennett, M Pickering, J Sargent",,0264-8377,https://doi.org/10.1016/j.landusepol.2019.02.016,Land Use Policy,,,,http://www.sciencedirect.com/science/article/pii/S0264837718309402,"OK1, NOK2",
Chapter 11 - Blockchain technology as key contributor to the integration of maritime supply chain?,2020,"Valentin Carlan, Francois Coppens, Christa Sys, Thierry Vanelslander, George Van Gastel",978-0-12-818421-9,,https://doi.org/10.1016/B978-0-12-818421-9.00012-4,,,,,http://www.sciencedirect.com/science/article/pii/B9780128184219000124,NOK1,
Real-time supply chain—A blockchain architecture for project deliveries,2020,"Petri Helo, AHM Shamsuzzoha",,0736-5845,https://doi.org/10.1016/j.rcim.2019.101909,Robotics and Computer-Integrated Manufacturing,,,,http://www.sciencedirect.com/science/article/pii/S0736584518306665,"OK1, NOK2",
Perspectives on emerging directions in using IoT devices in blockchain applications,2020,"A Rao, Daniel Clarke",,2542-6605,https://doi.org/10.1016/j.iot.2019.100079,Internet of Things,,,,http://www.sciencedirect.com/science/article/pii/S2542660519301301,NOK1,
Authenticating Health Activity Data Using Distributed Ledger Technologies,2018,"James Brogan, Immanuel Baskaran, Navin Ramachandran",,2001-0370,https://doi.org/10.1016/j.csbj.2018.06.004,Computational and Structural Biotechnology Journal,,,,http://www.sciencedirect.com/science/article/pii/S2001037018300345,"OK1, NOK2",
Implementing healthcare services on a large scale: Challenges and remedies based on blockchain technology,2020,"Prateek Pandey, Ratnesh Litoriya",,2211-8837,https://doi.org/10.1016/j.hlpt.2020.01.004,Health Policy and Technology,,,1,http://www.sciencedirect.com/science/article/pii/S2211883720300046,NOK1,
Tokenization of sukuk: Ethereum case study,2020,"Nida Khan, Bilal Kchouri, Nissar Yatoo, Zsofia Kräussl, Anass Patel, Radu State",,1044-0283,https://doi.org/10.1016/j.gfj.2020.100539,Global Finance Journal,,,,http://www.sciencedirect.com/science/article/pii/S1044028319303552,"OK1, NOK2",
The people's smart city dashboard (PSCD): Delivering on community-led governance with blockchain,2020,MariaLluïsa MarsalLlacuna,,0040-1625,https://doi.org/10.1016/j.techfore.2020.120150,Technological Forecasting and Social Change,,,,http://www.sciencedirect.com/science/article/pii/S0040162520309768,NOK1,
Towards random-honest miners selection and multi-blocks creation: Proof-of-negotiation consensus mechanism in blockchain networks,2020,"Jingyu Feng, Xinyu Zhao, Kexuan Chen, Feng Zhao, Guanghua Zhang",,0167-739X,https://doi.org/10.1016/j.future.2019.11.026,Future Generation Computer Systems,,,,http://www.sciencedirect.com/science/article/pii/S0167739X19313044,NOK1,
"Blockchain for smart cities: A review of architectures, integration trends and future research directions",2020,"Bharat Bhushan, Aditya Khamparia, K Sagayam, Sudhir Sharma, Mohd Ahad, Narayan Debnath",,2210-6707,https://doi.org/10.1016/j.scs.2020.102360,Sustainable Cities and Society,,,,http://www.sciencedirect.com/science/article/pii/S2210670720305813,"OK1, NOK2",
"Forecasting technological positioning through technology knowledge redundancy: Patent citation analysis of IoT, cybersecurity, and Blockchain",2020,"Tugrul Daim, Kuei Lai, Haydar Yalcin, Fayez Alsoubie, Vimal Kumar",,0040-1625,https://doi.org/10.1016/j.techfore.2020.120329,Technological Forecasting and Social Change,,,,http://www.sciencedirect.com/science/article/pii/S0040162520311550,NOK1,
Blockchain and supply chain relations: A transaction cost theory perspective,2019,"Christoph Schmidt, Stephan Wagner",,1478-4092,https://doi.org/10.1016/j.pursup.2019.100552,Journal of Purchasing and Supply Management,,,4,http://www.sciencedirect.com/science/article/pii/S1478409218301298,NOK1,
Long-term verification of signatures based on a blockchain,2020,"Tomasz Hyla, Jerzy Pejaś",,0045-7906,https://doi.org/10.1016/j.compeleceng.2019.106523,Computers & Electrical Engineering,,,,http://www.sciencedirect.com/science/article/pii/S0045790618327381,NOK1,
FSFC: An input filter-based secure framework for smart contract,2020,"Zeli Wang, Weiqi Dai, KimKwang Choo, Hai Jin, Deqing Zou",,1084-8045,https://doi.org/10.1016/j.jnca.2020.102530,Journal of Network and Computer Applications,,,,http://www.sciencedirect.com/science/article/pii/S1084804520300047,NOK1,
Blockchain for Internet of things applications: A review and open issues,2020,"Fei Chen, Zhe Xiao, Laizhong Cui, Qiuzhen Lin, Jianqiang Li, Shui Yu",,1084-8045,https://doi.org/10.1016/j.jnca.2020.102839,Journal of Network and Computer Applications,,,,http://www.sciencedirect.com/science/article/pii/S1084804520303076,NOK1,
